country_name,population,yearly_change,net_change,density,land_area,migrants,fertility_rate,median_age,urban_population_percentage,world_share_percentage
Italy,58926166,−0.37,−220094,200,294140,58272,1.22,48.6,72.4,0.71
Kenya,58636412,1.92,1103919,103,569140,−34838,3.07,20.3,32.6,0.71
Myanmar,55184819,0.61,334171,84,653290,−40682,2.06,30.4,34.6,0.66
Colombia,53936226,0.96,510591,49,1109500,115815,1.6,33,80.5,0.65
Sudan,53282719,3.14,1620572,30,1765048,252038,4.13,18.8,35.4,0.64
Uganda,52761469,2.68,1376575,264,199810,−121799,3.97,17.1,30.8,0.64
South Korea,51600388,−0.13,−66641,531,97230,62644,0.76,46.2,82.8,0.62
Algeria,48028334,1.25,593022,20,2381740,−28841,2.62,28.8,74.8,0.58
Iraq,48007437,2.1,986663,111,434320,−13102,3.13,21.1,73,0.58
Spain,47850793,−0.08,−39165,96,498800,85305,1.24,46.3,79.6,0.58
Argentina,46003734,0.33,152356,17,2736690,2316,1.51,33.3,96.5,0.55
Afghanistan,45047069,2.74,1202958,69,652860,−53884,4.56,17.4,26.9,0.54
Yemen,42961653,2.84,1187775,81,527970,−22178,4.33,18.5,33.3,0.52
Canada,40467728,0.85,341005,4,9093510,291403,1.33,40.8,80.2,0.49
Angola,40215179,3.01,1175140,32,1246700,−4270,4.89,16.7,69.4,0.48
Ukraine,39535849,1.43,555473,68,579320,−6229,1,41.8,75.5,0.48
Morocco,38762441,0.86,331671,87,446300,−60886,2.16,30.1,67.9,0.47
Poland,37843188,−0.78,−297722,124,306230,−7971,1.31,43,59.7,0.46
Uzbekistan,37724223,1.81,670795,89,425400,−4517,3.4,27,47.9,0.45
Mozambique,36639851,2.83,1008198,47,786380,−55988,4.54,16.6,42.1,0.44
Malaysia,36385115,1.13,407277,111,328550,159001,1.52,31.4,77.8,0.44
Ghana,35697557,1.81,633285,157,227540,−24195,3.26,21.6,59.2,0.43
Saudi Arabia,35165787,1.73,599459,16,2149690,108660,2.27,29.7,91.9,0.42
Peru,34922148,1,345483,27,1280000,6707,1.93,30.6,80.9,0.42
Madagascar,33522052,2.39,781374,58,581795,−2665,3.78,19.4,41,0.40
Côte d'Ivoire,33494346,2.39,782799,105,318000,6535,4.1,18.5,49.5,0.40
Cameroon,30640817,2.55,761480,65,472710,−18922,4.12,18.2,59.8,0.37
Nepal,29629410,0.04,11292,207,143350,−292014,1.92,25.7,25.3,0.36
Niger,28814878,3.21,897047,23,1266700,−10620,5.64,15.7,18.5,0.35
Venezuela,28633711,0.41,116815,32,882050,−92869,2.04,29.5,–,0.34
Australia,27227096,0.94,253070,4,7682300,131706,1.64,38.5,86.7,0.33
North Korea,26633691,0.24,62655,221,120410,−2809,1.75,36.8,63.7,0.32
Syria,26472497,3.33,852070,144,183630,305822,2.62,23.8,54.2,0.32
Mali,25932275,2.91,733454,21,1220190,−52609,5.33,15.9,45.1,0.31
Burkina Faso,24601700,2.19,527120,90,273600,−28309,3.92,18,34.5,0.30
Sri Lanka,23348315,0.51,118845,372,62710,−30760,1.93,33.6,18.2,0.28
Taiwan,23011292,−0.44,−101501,650,35410,−15041,0.86,45.4,84.9,0.28
Malawi,22785535,2.56,569415,242,94280,1348,3.45,18.4,20.2,0.27
Zambia,22521915,2.77,608041,30,743390,6939,3.91,18.2,47.4,0.27
Chad,21560380,2.65,556675,17,1259200,−112304,5.83,15.7,22.7,0.26
Kazakhstan,21083626,1.15,239872,8,2699700,−12814,2.92,29.7,55.2,0.25
Somalia,20305907,3.31,651168,32,627340,15364,5.8,15.6,47.1,0.24
Chile,19945850,0.43,85929,27,743532,48106,1.12,37.4,85.1,0.24
Senegal,19366548,2.3,434582,101,192530,−13429,3.66,19.8,53,0.23
Guatemala,18967978,1.5,280097,177,107160,−7432,2.23,23.8,57.1,0.23
Romania,18800605,−0.57,−108045,82,230170,−28982,1.71,43.5,55.5,0.23
Netherlands,18448775,0.56,101956,547,33720,89379,1.44,41.5,88.9,0.22
Ecuador,18444506,0.85,154610,74,248360,−13851,1.78,29.7,66.4,0.22
Cambodia,18051219,1.14,203237,102,176520,−34323,2.49,26.4,26.9,0.22
Zimbabwe,17273580,1.9,322785,45,386850,−54620,3.57,18.3,38.2,0.21
Guinea,15441993,2.27,342266,63,245720,−19725,3.96,18.5,40.9,0.19
Benin,15170419,2.4,355959,135,112760,−6318,4.34,18.2,48.4,0.18
Rwanda,14889693,2.2,320352,604,24670,−7003,3.54,20.2,18.5,0.18
Burundi,14729157,2.36,339154,574,25680,−35108,4.57,16.6,15.4,0.18
Bolivia,12749291,1.33,167448,12,1083300,−3157,2.47,25.5,71,0.15
South Sudan,12436037,2.03,247249,20,610952,7974,3.63,19,28.3,0.15
Tunisia,12415138,0.54,66565,80,155360,−14794,1.79,33.4,72.2,0.15
Haiti,12037506,1.1,131411,437,27560,−31968,2.55,24.3,62.4,0.15
Belgium,11774642,0.14,16039,389,30280,29607,1.4,42.1,99,0.14
Dominican Republic,11609500,0.77,89013,240,48320,−35038,2.17,28.7,86.9,0.14
Jordan,11589532,0.6,68848,131,88780,60699,2.54,24.9,85.4,0.14
United Arab Emirates,11574682,2.02,228682,138,83600,87401,1.21,31.6,80.7,0.14
