rank,title,year,rating
87,Capernaum,20182h 6mR,8.4 (123K)RateMark as watched
88,Singin' in the Rain,19521h 43mG,8.3 (281K)RateMark as watched
89,Joker,20192h 2mR,8.3 (1.7M)RateMark as watched
90,Once Upon a Time in America,19843h 49mR,8.3 (407K)RateMark as watched
91,Come and See,19852h 22mNot Rated,8.3 (121K)RateMark as watched
92,Star Wars: Episode VI - Return of the Jedi,19832h 11mPG,8.3 (1.2M)RateMark as watched
93,Requiem for a Dream,20001h 42mNC-17,8.3 (969K)RateMark as watched
94,Toy Story 3,20101h 43mG,8.3 (965K)RateMark as watched
95,Ikiru,19522h 23mNot Rated,8.3 (102K)RateMark as watched
96,The Hunt,20121h 55mR,8.3 (407K)RateMark as watched
97,Incendies,20102h 11mR,8.3 (248K)RateMark as watched
98,Eternal Sunshine of the Spotless Mind,20041h 48mR,8.3 (1.2M)RateMark as watched
99,The Apartment,19602h 5mApproved,8.3 (218K)RateMark as watched
100,Lawrence of Arabia,19623h 47mApproved,8.3 (340K)RateMark as watched
101,Heat,19952h 50mR,8.3 (797K)RateMark as watched
102,2001: A Space Odyssey,19682h 29mG,8.3 (779K)RateMark as watched
103,Reservoir Dogs,19921h 39mR,8.3 (1.2M)RateMark as watched
104,Scarface,19832h 50mR,8.3 (1M)RateMark as watched
105,Double Indemnity,19441h 47mApproved,8.3 (181K)RateMark as watched
106,Up,20091h 36mPG,8.3 (1.2M)RateMark as watched
107,North by Northwest,19592h 16mApproved,8.3 (369K)RateMark as watched
108,Taare Zameen Par,20072h 42mPG,8.3 (231K)RateMark as watched
109,Full Metal Jacket,19871h 56mR,8.2 (847K)RateMark as watched
110,M,19311h 39mPassed,8.3 (182K)RateMark as watched
111,Citizen Kane,19411h 59mPG,8.2 (492K)RateMark as watched
112,Amélie,20012h 2mR,8.3 (837K)RateMark as watched
113,Vertigo,19582h 8mPG,8.2 (458K)RateMark as watched
114,A Separation,20112h 3mPG-13,8.3 (277K)RateMark as watched
115,Die Hard,19882h 12mR,8.2 (1M)RateMark as watched
116,To Kill a Mockingbird,19622h 9mApproved,8.2 (351K)RateMark as watched
117,Indiana Jones and the Last Crusade,19892h 7mPG-13,8.2 (861K)RateMark as watched
118,The Sting,19732h 9mPG,8.2 (299K)RateMark as watched
119,A Clockwork Orange,19712h 16mR,8.2 (934K)RateMark as watched
120,Metropolis,19272h 33mPassed,8.2 (200K)RateMark as watched
121,1917,20191h 59mR,8.2 (766K)RateMark as watched
122,Snatch,20001h 42mR,8.2 (973K)RateMark as watched
123,L.A. Confidential,19972h 18mR,8.2 (657K)RateMark as watched
124,Downfall,20042h 36mR,8.2 (399K)RateMark as watched
125,The Wolf of Wall Street,20133hR,8.2 (1.8M)RateMark as watched
126,Dangal,20162h 41mNot Rated,8.3 (241K)RateMark as watched
127,The Truman Show,19981h 43mPG,8.2 (1.4M)RateMark as watched
128,Bicycle Thieves,19481h 29mNot Rated,8.2 (192K)RateMark as watched
129,Oppenheimer,20233hR,8.2 (1M)RateMark as watched
130,Green Book,20182h 10mPG-13,8.2 (678K)RateMark as watched
131,Shutter Island,20102h 18mR,8.2 (1.6M)RateMark as watched
132,Judgment at Nuremberg,19612h 59mApproved,8.3 (96K)RateMark as watched
133,Batman Begins,20052h 20mPG-13,8.2 (1.7M)RateMark as watched
134,Hamilton,20202h 40mPG-13,8.3 (138K)RateMark as watched
135,For a Few Dollars More,19652h 12mR,8.2 (299K)RateMark as watched
136,Taxi Driver,19761h 54mR,8.2 (1M)RateMark as watched
137,Jurassic Park,19932h 7mPG-13,8.2 (1.2M)RateMark as watched
138,Some Like It Hot,19592h 1mApproved,8.2 (304K)RateMark as watched
139,There Will Be Blood,20072h 38mR,8.2 (704K)RateMark as watched
140,The Father,20201h 37mPG-13,8.2 (242K)RateMark as watched
141,The Kid,19211h 8mPassed,8.2 (145K)RateMark as watched
142,All About Eve,19502h 18mApproved,8.2 (149K)RateMark as watched
143,The Sixth Sense,19991h 47mPG-13,8.2 (1.1M)RateMark as watched
144,Ran,19852h 40mR,8.2 (151K)RateMark as watched
145,Casino,19952h 58mR,8.2 (616K)RateMark as watched
146,No Country for Old Men,20072h 2mR,8.2 (1.2M)RateMark as watched
147,The Thing,19821h 49mR,8.2 (523K)RateMark as watched
148,Top Gun: Maverick,20222h 10mPG-13,8.2 (850K)RateMark as watched
149,Prisoners,20132h 33mR,8.2 (926K)RateMark as watched
150,Kill Bill: Vol. 1,20031h 51mR,8.2 (1.3M)RateMark as watched
151,Pan's Labyrinth,20061h 58mR,8.2 (744K)RateMark as watched
152,Unforgiven,19922h 10mR,8.2 (467K)RateMark as watched
153,A Beautiful Mind,20012h 15mPG-13,8.2 (1M)RateMark as watched
154,I Swear,"Releases Apr 24, 20262hR",8.4 (26K)RateMark as watched
155,The Treasure of the Sierra Madre,19482h 6mApproved,8.2 (141K)RateMark as watched
156,Howl's Moving Castle,20041h 59mPG,8.2 (508K)RateMark as watched
157,Finding Nemo,20031h 40mG,8.2 (1.2M)RateMark as watched
158,Klaus,20191h 36mPG,8.2 (235K)RateMark as watched
159,Yojimbo,19611h 50mNot Rated,8.2 (142K)RateMark as watched
160,The Great Escape,19632h 52mApproved,8.2 (276K)RateMark as watched
161,The Elephant Man,19802h 4mPG,8.2 (281K)RateMark as watched
162,Monty Python and the Holy Grail,19751h 31mPG,8.2 (602K)RateMark as watched
163,Dial M for Murder,19541h 45mPG,8.1 (204K)RateMark as watched
164,The Best of Youth,20036h 14mR,8.4 (28K)RateMark as watched
165,Demon Slayer: Kimetsu No Yaiba Infinity Castle,20252h 35mR,8.4 (67K)RateMark as watched
166,The Secret in Their Eyes,20092h 9mR,8.2 (241K)RateMark as watched
167,Gone with the Wind,19393h 58mG,8.2 (355K)RateMark as watched
168,Chinatown,19742h 10mR,8.1 (376K)RateMark as watched
169,"Lock, Stock and Two Smoking Barrels",19981h 47mR,8.1 (648K)RateMark as watched
170,V for Vendetta,20052h 12mR,8.1 (1.2M)RateMark as watched
171,Catch Me If You Can,20022h 21mPG-13,8.1 (1.2M)RateMark as watched
172,Inside Out,20151h 35mPG,8.1 (908K)RateMark as watched
173,Rashomon,19501h 28mNot Rated,8.1 (196K)RateMark as watched
174,"Three Billboards Outside Ebbing, Missouri",20171h 55mR,8.1 (604K)RateMark as watched
175,Trainspotting,19961h 33mR,8.1 (767K)RateMark as watched
176,The Bridge on the River Kwai,19572h 41mPG,8.1 (248K)RateMark as watched
177,Harry Potter and the Deathly Hallows: Part 2,20112h 10mPG-13,8.1 (1M)RateMark as watched
178,Dead Poets Society,19892h 8mPG,8.1 (646K)RateMark as watched
179,The Wild Robot,20241h 42mPG,8.2 (218K)RateMark as watched
180,The Chaos Class Failed the Class,19751h 35m,8.5 (30K)RateMark as watched
181,Warrior,20112h 20mPG-13,8.1 (527K)RateMark as watched
182,Barry Lyndon,19753h 5mPG,8.1 (203K)RateMark as watched
183,Fargo,19961h 38mR,8.1 (784K)RateMark as watched
184,Ben-Hur,19593h 32mG,8.1 (270K)RateMark as watched
185,Raging Bull,19802h 9mR,8.1 (409K)RateMark as watched
186,Million Dollar Baby,20042h 12mPG-13,8.1 (763K)RateMark as watched
187,Mad Max: Fury Road,20152hR,8.1 (1.2M)RateMark as watched
