country,population,yearly_change,net_change,density,land_area,migrants,fert_rate,med_age,urban_pop,world_share
Burkina Faso,"24,601,700",2.19%,"527,120",90,"273,600","−28,309",59,59,34.5%,0.30%
Sri Lanka,"23,348,315",0.51%,"118,845",372,"62,710","−30,760",60,60,18.2%,0.28%
Taiwan,"23,011,292",−0.44%,"−101,501",650,"35,410","−15,041",61,61,84.9%,0.28%
Malawi,"22,785,535",2.56%,"569,415",242,"94,280","1,348",62,62,20.2%,0.27%
Zambia,"22,521,915",2.77%,"608,041",30,"743,390","6,939",63,63,47.4%,0.27%
Chad,"21,560,380",2.65%,"556,675",17,"1,259,200","−112,304",64,64,22.7%,0.26%
Kazakhstan,"21,083,626",1.15%,"239,872",8,"2,699,700","−12,814",65,65,55.2%,0.25%
Somalia,"20,305,907",3.31%,"651,168",32,"627,340","15,364",66,66,47.1%,0.24%
Chile,"19,945,850",0.43%,"85,929",27,"743,532","48,106",67,67,85.1%,0.24%
Senegal,"19,366,548",2.3%,"434,582",101,"192,530","−13,429",68,68,53%,0.23%
Guatemala,"18,967,978",1.5%,"280,097",177,"107,160","−7,432",69,69,57.1%,0.23%
Romania,"18,800,605",−0.57%,"−108,045",82,"230,170","−28,982",70,70,55.5%,0.23%
Netherlands,"18,448,775",0.56%,"101,956",547,"33,720","89,379",71,71,88.9%,0.22%
Ecuador,"18,444,506",0.85%,"154,610",74,"248,360","−13,851",72,72,66.4%,0.22%
Cambodia,"18,051,219",1.14%,"203,237",102,"176,520","−34,323",73,73,26.9%,0.22%
Zimbabwe,"17,273,580",1.9%,"322,785",45,"386,850","−54,620",74,74,38.2%,0.21%
Guinea,"15,441,993",2.27%,"342,266",63,"245,720","−19,725",75,75,40.9%,0.19%
Benin,"15,170,419",2.4%,"355,959",135,"112,760","−6,318",76,76,48.4%,0.18%
Rwanda,"14,889,693",2.2%,"320,352",604,"24,670","−7,003",77,77,18.5%,0.18%
Burundi,"14,729,157",2.36%,"339,154",574,"25,680","−35,108",78,78,15.4%,0.18%
Bolivia,"12,749,291",1.33%,"167,448",12,"1,083,300","−3,157",79,79,71%,0.15%
South Sudan,"12,436,037",2.03%,"247,249",20,"610,952","7,974",80,80,28.3%,0.15%
Tunisia,"12,415,138",0.54%,"66,565",80,"155,360","−14,794",81,81,72.2%,0.15%
Haiti,"12,037,506",1.1%,"131,411",437,"27,560","−31,968",82,82,62.4%,0.15%
Belgium,"11,774,642",0.14%,"16,039",389,"30,280","29,607",83,83,99%,0.14%
Dominican Republic,"11,609,500",0.77%,"89,013",240,"48,320","−35,038",84,84,86.9%,0.14%
Jordan,"11,589,532",0.6%,"68,848",131,"88,780","60,699",85,85,85.4%,0.14%
