country name,population,yearly change,net change,density,land area,migrants,fertility rate,median age,urban population percentage,world share percentage
1,"1,476,625,576",0.87%,"12,760,051",497,"2,973,190","−440,456",1,29.2,1,17.79%
2,"1,412,914,089",−0.22%,"−3,182,005",150,"9,388,211","−232,107",2,40.6,2,17.02%
3,"349,035,494",0.51%,"1,759,687",38,"9,147,420","1,177,848",3,38.7,3,4.20%
4,"287,886,782",0.76%,"2,165,546",159,"1,811,570","−39,472",4,30.7,4,3.47%
5,"259,299,791",1.6%,"4,080,237",336,"770,880","−1,144,738",5,20.8,5,3.12%
6,"242,431,832",2.06%,"4,904,050",266,"910,770","−2,810",6,18.3,6,2.92%
7,"213,562,666",0.35%,"750,261",26,"8,358,140","−205,642",7,35.3,7,2.57%
8,"177,818,044",1.21%,"2,131,145","1,366","130,170","−371,398",8,26.3,8,2.14%
9,"143,394,458",−0.42%,"−602,935",9,"16,376,870","324,924",9,40.7,9,1.73%
10,"138,902,185",2.53%,"3,430,134",139,"1,000,000","27,298",10,19.3,10,1.67%
11,"132,997,658",0.8%,"1,050,758",68,"1,943,950","−109,844",11,30,11,1.60%
12,"122,427,731",−0.55%,"−675,748",336,"364,555","128,619",12,50.2,12,1.47%
13,"120,101,175",1.47%,"1,735,180",121,"995,450","−52,287",13,24.7,13,1.45%
14,"117,724,471",0.8%,"937,509",395,"298,170","−144,275",14,26.6,14,1.42%
15,"116,452,162",3.21%,"3,619,689",51,"2,267,050","−28,843",15,15.9,15,1.40%
16,"102,177,431",0.57%,"578,904",330,"310,070","−51,045",16,33.9,16,1.23%
17,"93,168,497",0.81%,"750,816",57,"1,628,550","66,848",17,34.5,17,1.12%
18,"87,926,082",0.27%,"240,656",114,"769,630","−217,896",18,33.9,18,1.06%
19,"83,644,258",−0.51%,"−430,817",240,"348,560","158,442",19,45.7,19,1.01%
20,"72,563,780",2.86%,"2,017,915",82,"885,800","−25,275",20,17.6,20,0.87%
21,"71,559,614",−0.08%,"−60,249",140,"510,890","29,200",21,41,21,0.86%
22,"69,931,528",0.55%,"380,196",289,"241,930","364,099",22,40.2,22,0.84%
23,"66,746,401",0.14%,"95,597",122,"547,557","88,533",23,42.5,23,0.80%
24,"65,453,084",1.09%,"705,765",54,"1,213,090","131,684",24,28.9,24,0.79%
25,"58,926,166",−0.37%,"−220,094",200,"294,140","58,272",25,48.6,25,0.71%
26,"58,636,412",1.92%,"1,103,919",103,"569,140","−34,838",26,20.3,26,0.71%
27,"55,184,819",0.61%,"334,171",84,"653,290","−40,682",27,30.4,27,0.66%
28,"53,936,226",0.96%,"510,591",49,"1,109,500","115,815",28,33,28,0.65%
29,"53,282,719",3.14%,"1,620,572",30,"1,765,048","252,038",29,18.8,29,0.64%
30,"52,761,469",2.68%,"1,376,575",264,"199,810","−121,799",30,17.1,30,0.64%
31,"51,600,388",−0.13%,"−66,641",531,"97,230","62,644",31,46.2,31,0.62%
32,"48,028,334",1.25%,"593,022",20,"2,381,740","−28,841",32,28.8,32,0.58%
33,"48,007,437",2.1%,"986,663",111,"434,320","−13,102",33,21.1,33,0.58%
