property_title,bhk_type,carpet_area_sqft,price,price_per_sqft,locality,city,transaction_type,construction_status,url
"Multistorey Apartment for Sale in Panathur, Bangalore. Covered area is 1789.0 Sq-ft. This property belongs to ""Sobha Ayana at Dream Acres"" .",3 BHK Apartment for Sale in Panathur Bangalore,Sobha Ayana at Dream Acres,"16
+
Photos",Sobha Ayana at Dream Acres,Sobha Ayana at Dream Acres,Sobha Ayana at Dream Acres,Sobha Ayana at Dream Acres,Sobha Ayana at Dream Acres,Sobha Ayana at Dream Acres
"Multistorey Apartment for Sale in Panathur, Bangalore. Covered area is 1789.0 Sq-ft. This property belongs to ""Sobha Ayana at Dream Acres"" .",,,,,,,,,
"Multistorey Apartment for Sale in Sarjapur Road, Bangalore. Covered area is 1868.0 Sq-ft. This property belongs to ""Meridian Park at The Prestige City"" .",3 BHK Apartment for Sale in Sarjapur Road Bangalore,Meridian Park at The Prestige City,"19
+
Photos",Meridian Park at The Prestige City,Meridian Park at The Prestige City,Meridian Park at The Prestige City,Meridian Park at The Prestige City,Meridian Park at The Prestige City,Meridian Park at The Prestige City
"Multistorey Apartment for Sale in Sarjapur Road, Bangalore. Covered area is 1868.0 Sq-ft. This property belongs to ""Meridian Park at The Prestige City"" .",,,,,,,,,
"Multistorey Apartment for Sale in Yelahanka, Bangalore. Covered area is 2045.0 Sq-ft. This property belongs to ""Bhartiya Garden Estate "" .",3 BHK Apartment for Sale in Yelahanka Bangalore,Bhartiya Garden Estate,"10
+
Photos",Bhartiya Garden Estate,Bhartiya Garden Estate,Bhartiya Garden Estate,Bhartiya Garden Estate,Bhartiya Garden Estate,Bhartiya Garden Estate
"Multistorey Apartment for Sale in Yelahanka, Bangalore. Covered area is 2045.0 Sq-ft. This property belongs to ""Bhartiya Garden Estate "" .",,,,,,,,,
"Multistorey Apartment for Sale in Devanahalli, Bangalore. Covered area is 1217.0 Sq-ft. This property belongs to ""Sattva Vasanta Skye"" .",2 BHK Apartment for Sale in Devanahalli Bangalore,Sattva Vasanta Skye,"29
+
Photos",Sattva Vasanta Skye,Sattva Vasanta Skye,Sattva Vasanta Skye,Sattva Vasanta Skye,Sattva Vasanta Skye,Sattva Vasanta Skye
"29
+
Photos",,,,,,,,,
"Multistorey Apartment for Sale in Devanahalli, Bangalore. Covered area is 1217.0 Sq-ft. This property belongs to ""Sattva Vasanta Skye"" .",,,,,,,,,
"Multistorey Apartment for Sale in Panathur, Bangalore. Covered area is 1915.0 Sq-ft. This property belongs to ""Sobha Neopolis"" .",3 BHK Apartment for Sale in Panathur Bangalore,Sobha Neopolis,"48
+
Photos",Sobha Neopolis,Sobha Neopolis,Sobha Neopolis,Sobha Neopolis,Sobha Neopolis,Sobha Neopolis
"48
+
Photos",,,,,,,,,
"Multistorey Apartment for Sale in Panathur, Bangalore. Covered area is 1915.0 Sq-ft. This property belongs to ""Sobha Neopolis"" .",,,,,,,,,
"Multistorey Apartment for Sale in HSR Layout, Bangalore. Covered area is 2187.0 Sq-ft. This property belongs to ""Sobha Infinia Phase 2"" .",3 BHK Apartment for Sale in Hsr Layout Bangalore,Sobha Infinia Phase 2,"15
+
Photos",Sobha Infinia Phase 2,Sobha Infinia Phase 2,Sobha Infinia Phase 2,Sobha Infinia Phase 2,Sobha Infinia Phase 2,Sobha Infinia Phase 2
"Multistorey Apartment for Sale in HSR Layout, Bangalore. Covered area is 2187.0 Sq-ft. This property belongs to ""Sobha Infinia Phase 2"" .",,,,,,,,,
"Multistorey Apartment for Sale in Bagaluru, Bangalore. Covered area is 1670.0 Sq-ft. This property belongs to ""Assetz Sora and Saki Phase 2"" .",3 BHK Apartment for Sale in Bagaluru Bangalore,Assetz Sora and Saki Phase 2,"4
+
Photos",Assetz Sora and Saki Phase 2,Assetz Sora and Saki Phase 2,Assetz Sora and Saki Phase 2,Assetz Sora and Saki Phase 2,Assetz Sora and Saki Phase 2,Assetz Sora and Saki Phase 2
"4
+
Photos",,,,,,,,,
"Multistorey Apartment for Sale in Bagaluru, Bangalore. Covered area is 1670.0 Sq-ft. This property belongs to ""Assetz Sora and Saki Phase 2"" .",,,,,,,,,
"Multistorey Apartment for Sale in JP Nagar, Bangalore. Covered area is 2440.0 Sq-ft. This property belongs to ""Vainavi Celestium"" .",3 BHK Apartment for Sale in J P Nagar Bangalore,Vainavi Celestium,"25
+
Photos",Vainavi Celestium,Vainavi Celestium,Vainavi Celestium,Vainavi Celestium,Vainavi Celestium,Vainavi Celestium
"Multistorey Apartment for Sale in JP Nagar, Bangalore. Covered area is 2440.0 Sq-ft. This property belongs to ""Vainavi Celestium"" .",,,,,,,,,
