country,population_2026,yearly_change,net_change,density
New Zealand,"5,287,479",0.68%,"35,580",20
Costa Rica,"5,174,789",0.42%,"21,839",101
Kuwait,"5,102,773",1.53%,"76,695",286
Panama,"4,625,718",1.19%,"54,529",62
Croatia,"3,822,345",−0.67%,"−25,815",68
Georgia,"3,804,642",−0.05%,"−2,029",55
Eritrea,"3,682,669",2.1%,"75,666",36
Mongolia,"3,556,798",1.13%,"39,698",2
Uruguay,"3,382,537",−0.06%,"−2,151",19
Puerto Rico,"3,222,688",−0.39%,"−12,601",363
Qatar,"3,173,559",1.85%,"57,670",273
Namibia,"3,153,246",1.95%,"60,430",4
Bosnia and Herzegovina,"3,114,242",−0.82%,"−25,853",61
Moldova,"2,961,253",−1.16%,"−34,853",90
Armenia,"2,930,915",−0.73%,"−21,450",103
Gambia,"2,884,079",2.2%,"61,986",285
Jamaica,"2,833,403",−0.13%,"−3,674",262
Lithuania,"2,797,338",−1.16%,"−32,806",45
Albania,"2,751,025",−0.74%,"−20,483",100
Gabon,"2,647,399",2.09%,"54,269",10
Botswana,"2,603,388",1.61%,"41,266",5
Lesotho,"2,389,336",1.1%,"26,011",79
Guinea-Bissau,"2,297,808",2.15%,"48,293",82
Slovenia,"2,114,573",−0.12%,"−2,499",105
Equatorial Guinea,"1,984,468",2.37%,"46,037",71
Latvia,"1,835,935",−0.95%,"−17,624",30
North Macedonia,"1,804,063",−0.54%,"−9,728",72
Bahrain,"1,675,572",1.96%,"32,240","2,205"
Trinidad and Tobago,"1,513,268",0.14%,"2,113",295
Timor-Leste,"1,436,923",1.3%,"18,406",97
Cyprus,"1,382,334",0.84%,"11,580",150
Estonia,"1,331,062",−0.98%,"−13,170",31
Eswatini,"1,269,859",1.09%,"13,685",74
Mauritius,"1,265,059",−0.25%,"−3,221",623
Djibouti,"1,199,459",1.3%,"15,383",52
Fiji,"937,282",0.44%,"4,128",51
Comoros,"899,010",1.83%,"16,163",483
Réunion,"886,298",0.44%,"3,893",355
Solomon Islands,"858,288",2.34%,"19,643",31
Guyana,"840,890",0.59%,"4,904",4
Bhutan,"802,214",0.69%,"5,532",21
Macao,"723,188",0.16%,"1,181","24,106"
Luxembourg,"687,448",1.03%,"6,995",265
Suriname,"645,256",0.84%,"5,406",4
Montenegro,"626,233",−1.03%,"−6,496",47
Western Sahara,"610,813",1.65%,"9,909",2
Malta,"549,011",0.66%,"3,606","1,716"
Maldives,"531,517",0.35%,"1,841","1,772"
Cabo Verde,"529,630",0.44%,"2,304",131
Brunei,"469,775",0.74%,"3,445",89
Belize,"428,644",1.35%,"5,720",19
Bahamas,"404,628",0.4%,"1,595",40
Iceland,"402,329",1.02%,"4,063",4
Guadeloupe,"372,453",−0.36%,"−1,338",220
Mayotte,"347,536",3.12%,"10,525",927
Vanuatu,"342,564",2.21%,"7,395",28
Martinique,"337,711",−0.8%,"−2,728",319
French Guiana,"318,872",1.66%,"5,206",4
New Caledonia,"297,892",0.87%,"2,559",16
French Polynesia,"283,076",0.22%,611,77
Barbados,"282,724",0.04%,101,657
Sao Tome & Principe,"244,994",1.97%,"4,740",255
Samoa,"220,528",0.56%,"1,222",78
Curaçao,"185,440",−0.03%,−47,418
Saint Lucia,"180,488",0.19%,339,296
Guam,"170,185",0.7%,"1,186",315
Kiribati,"138,445",1.43%,"1,957",171
Seychelles,"134,959",1.64%,"2,180",293
Grenada,"117,362",0.05%,59,345
Micronesia,"114,183",0.44%,500,163
Aruba,"108,164",0.02%,17,601
Tonga,"103,291",−0.43%,−451,143
St. Vincent & Grenadines,"99,245",−0.68%,−679,254
Antigua and Barbuda,"94,626",0.44%,417,215
Isle of Man,"84,055",−0.07%,−63,147
Andorra,"83,753",1.02%,849,178
U.S. Virgin Islands,"83,400",−0.88%,−738,238
Cayman Islands,"77,196",1.78%,"1,352",322
Dominica,"65,511",−0.55%,−360,87
Bermuda,"64,459",−0.15%,−96,"1,289"
Faeroe Islands,"56,526",0.94%,524,40
Greenland,"55,629",−0.21%,−116,0
Turks and Caicos,"47,148",0.63%,293,50
Saint Kitts & Nevis,"46,992",0.15%,70,181
American Samoa,"45,319",−1.54%,−710,227
Sint Maarten,"44,447",1.19%,524,"1,307"
Northern Mariana Islands,"42,914",−1.44%,−627,93
Gibraltar,"40,867",1.85%,741,"4,087"
Liechtenstein,"40,368",0.6%,240,252
British Virgin Islands,"39,936",0.51%,204,266
Monaco,"38,087",−0.66%,−254,"25,562"
Marshall Islands,"35,075",−3.33%,"−1,207",195
San Marino,"33,605",0.1%,33,560
Caribbean Netherlands,"31,913",1.83%,575,97
Saint Martin,"23,898",−4.18%,"−1,043",451
Palau,"17,614",−0.28%,−49,38
Anguilla,"14,817",0.6%,89,165
Cook Islands,"12,826",−3.29%,−437,53
Nauru,"12,101",0.63%,76,605
Saint Barthelemy,"11,550",1.19%,136,550
Wallis & Futuna,"11,113",−0.72%,−81,79
Tuvalu,"9,362",−1.37%,−130,312
Saint Pierre & Miquelon,"5,513",−1.09%,−61,24
Saint Helena,"5,147",−0.96%,−50,13
Montserrat,"4,328",−0.71%,−31,43
Falkland Islands,"3,465",−0.12%,−4,0
Tokelau,"2,691",3.18%,83,269
Niue,"1,822",0.05%,1,7
Holy See,506,1%,5,"1,265"
